,cate,accuracy,f1score,cosine,jaccard,logloss,person
0,pose,0.5333333333333333,0.6956521739130436,0.7302967433402215,0.5333333333333333,16.820371581588002,0
1,partial_view,0.8,0.0,1.0,0.0,7.2087306778234295,0
2,object_blocking,1.0,0.0,1.0,0.0,2.220446049250313e-16,0
3,person_blocking,0.9333333333333333,0.0,1.0,0.0,2.4029102259411435,0
4,multiple_objects,0.8333333333333334,0.0,1.0,0.0,6.007275564852859,0
5,smaller,0.8,0.25,0.28867513459481287,0.14285714285714285,7.2087306778234295,0
6,larger,0.8,0.25,0.3779644730092272,0.14285714285714285,7.20873067782343,0
7,brighter,1.0,0.0,1.0,0.0,2.220446049250313e-16,0
8,darker,1.0,1.0,1.0,1.0,2.220446049250313e-16,0
9,background,0.43333333333333335,0.5641025641025641,0.6267831705280087,0.39285714285714285,20.424736920499715,0
10,color,0.9,0.823529411764706,0.8249579113843055,0.7,3.604365338911715,0
11,shape,0.8666666666666667,0.0,1.0,0.0,4.805820451882287,0
12,texture,0.9,0.0,1.0,0.0,3.604365338911715,0
13,pattern,0.6666666666666666,0.16666666666666669,0.30151134457776363,0.09090909090909091,12.014551129705717,0
14,style,1.0,0.0,1.0,0.0,2.220446049250313e-16,0
15,subcategory,0.9,0.4,0.5,0.25,3.604365338911715,0
16,pose,0.3333333333333333,0.5,0.5773502691896257,0.3333333333333333,24.029102259411435,1
17,partial_view,0.8,0.0,1.0,0.0,7.2087306778234295,1
18,object_blocking,0.9666666666666667,0.0,1.0,0.0,1.2014551129705717,1
19,person_blocking,0.9333333333333333,0.0,1.0,0.0,2.4029102259411435,1
20,multiple_objects,0.8333333333333334,0.0,1.0,0.0,6.007275564852859,1
21,smaller,0.9,0.5714285714285715,0.6324555320336759,0.4,3.604365338911715,1
22,larger,0.7666666666666667,0.0,0.0,0.0,8.410185790794001,1
23,brighter,0.8333333333333334,0.0,1.0,0.0,6.007275564852859,1
24,darker,0.9333333333333333,0.5,0.5773502691896257,0.3333333333333333,2.4029102259411435,1
25,background,0.23333333333333334,0.34285714285714286,0.4285714285714286,0.20689655172413793,27.633467598323147,1
26,color,0.8,0.5,0.5303300858899107,0.3333333333333333,7.2087306778234295,1
27,shape,0.9,0.0,1.0,0.0,3.604365338911715,1
28,texture,0.9333333333333333,0.0,1.0,0.0,2.4029102259411435,1
29,pattern,0.6666666666666666,0.16666666666666669,0.30151134457776363,0.09090909090909091,12.014551129705717,1
30,style,0.9333333333333333,0.0,1.0,0.0,2.4029102259411435,1
31,subcategory,0.8666666666666667,0.33333333333333337,0.447213595499958,0.2,4.805820451882287,1
32,pose,0.3,0.4615384615384615,0.5477225575051662,0.3,25.230557372382005,2
33,partial_view,0.7666666666666667,0.0,1.0,0.0,8.410185790794001,2
34,object_blocking,1.0,0.0,1.0,0.0,2.220446049250313e-16,2
35,person_blocking,0.9333333333333333,0.0,1.0,0.0,2.4029102259411435,2
36,multiple_objects,0.8333333333333334,0.0,1.0,0.0,6.007275564852859,2
37,smaller,0.7666666666666667,0.3636363636363636,0.4714045207910317,0.2222222222222222,8.410185790794001,2
38,larger,0.8333333333333334,0.2857142857142857,0.4082482904638629,0.16666666666666666,6.007275564852859,2
39,brighter,0.9333333333333333,0.0,1.0,0.0,2.4029102259411435,2
