,base pred,meta pred,true label
0,269,269,269
1,466,466,466
2,787,787,787
3,592,592,592
4,364,364,364
5,932,932,932
6,816,816,816
7,987,987,987
8,503,503,503
9,360,360,356
10,706,706,731
11,770,770,770
12,485,493,482
13,380,380,384
14,118,118,118
15,957,957,957
16,824,533,824
17,71,71,71
18,796,796,824
19,837,837,837
20,441,441,441
21,311,311,311
22,777,777,777
23,575,575,889
24,358,358,358
25,613,613,613
26,278,278,356
27,170,170,343
28,763,763,763
29,564,564,564
30,819,819,541
31,289,289,289
32,618,618,542
33,270,270,270
34,65,65,115
35,632,632,632
36,665,665,665
37,333,333,333
38,423,423,762
39,641,641,641
40,886,886,886
41,347,347,347
42,175,175,175
43,771,771,771
44,883,749,85
45,367,367,369
46,131,131,131
47,998,998,998
48,634,634,634
49,770,770,770
50,367,367,367
51,64,64,55
52,575,575,575
53,790,790,790
54,373,373,373
55,835,835,640
56,401,401,401
57,476,476,476
58,529,529,529
59,651,848,848
60,214,214,219
61,687,687,687
62,584,616,616
63,543,543,543
64,827,827,790
65,447,447,977
66,493,493,771
67,869,869,727
68,601,697,697
69,75,75,75
70,515,515,671
71,529,529,529
72,684,684,684
73,663,663,663
74,916,916,920
75,250,250,250
76,840,840,840
77,644,644,644
78,927,927,927
79,727,727,727
80,778,778,778
81,973,973,973
82,471,471,471
83,415,922,958
84,194,194,194
85,972,972,972
86,504,504,345
87,281,281,281
88,423,423,424
89,47,47,47
90,504,504,662
91,406,406,884
92,828,828,463
93,397,397,390
94,306,306,306
95,421,421,421
96,619,619,619
97,702,702,655
98,606,606,606
99,794,794,794
100,796,796,509
101,186,186,186
102,734,734,734
103,524,524,461
104,31,32,31
105,16,16,16
106,725,725,898
107,77,77,60
108,706,706,706
109,171,171,151
110,711,711,905
111,961,961,961
112,103,103,103
113,765,765,765
114,134,134,134
115,144,144,144
116,267,267,267
117,927,927,959
118,974,974,536
119,818,818,494
120,837,837,629
121,850,850,850
122,22,22,22
123,510,510,510
124,156,156,156
125,312,312,312
126,136,136,136
127,983,983,983
128,633,633,633
129,47,47,47
130,495,495,799
131,580,580,580
132,120,120,120
133,526,526,534
134,579,579,579
135,697,697,359
136,986,986,902
137,833,833,833
138,495,495,495
139,24,24,24
140,170,170,177
141,562,562,529
142,490,506,490
143,53,53,53
144,344,344,344
145,188,188,188
146,243,243,243
147,352,352,353
148,196,196,196
149,18,18,18
