,base pred,meta pred,true label
0,304,304,64
1,383,169,257
2,47,47,47
3,40,40,41
4,181,181,181
5,690,690,603
6,495,495,495
7,888,977,460
8,34,34,34
9,467,467,887
10,859,859,859
11,281,281,281
12,981,981,981
13,126,126,396
14,9,9,9
15,952,952,986
16,848,848,782
17,316,316,316
18,126,126,126
19,740,740,865
20,760,760,760
21,203,203,203
22,510,510,510
23,264,264,264
24,491,491,491
25,239,240,240
26,521,521,925
27,954,954,954
28,823,618,451
29,334,334,334
30,804,804,804
31,344,344,344
32,195,195,195
33,790,790,588
34,83,83,82
35,74,74,73
36,237,237,237
37,951,951,951
38,361,361,551
39,387,387,387
40,979,979,979
41,3,3,3
42,968,968,968
43,520,520,516
44,994,994,994
45,489,489,560
46,257,257,257
47,610,373,692
48,909,883,883
49,157,157,230
50,571,571,571
51,432,432,683
52,569,569,569
53,335,335,335
54,666,666,415
55,170,354,202
56,364,364,364
57,556,556,469
58,20,20,20
59,837,837,666
60,809,925,925
61,510,510,510
62,255,255,255
63,696,305,967
64,21,21,23
65,622,585,801
66,960,644,909
67,812,812,812
68,461,524,524
69,80,80,80
70,638,638,638
71,157,157,157
72,183,183,183
73,711,711,633
74,281,281,285
75,230,231,226
76,155,155,154
77,18,18,93
78,728,728,728
79,716,716,716
80,913,913,693
81,734,734,734
82,107,107,650
83,384,384,384
84,668,668,668
85,888,466,466
86,40,330,44
87,863,863,863
88,141,141,141
89,472,445,476
90,490,490,490
91,324,324,324
92,175,175,175
93,850,850,850
94,148,148,148
95,954,954,954
96,42,42,47
97,619,619,728
98,476,476,476
99,632,632,632
100,430,430,430
101,329,329,329
102,65,65,65
103,77,77,77
104,145,145,145
105,259,259,259
106,499,623,623
107,470,644,644
108,155,155,155
109,622,622,622
110,708,708,708
111,209,209,209
112,516,516,516
113,908,925,925
114,966,966,959
115,423,423,424
116,550,550,505
117,569,569,803
118,676,676,360
119,975,975,835
120,454,454,765
121,384,384,384
122,508,508,508
123,443,701,600
124,274,274,274
125,620,620,620
126,866,866,866
127,535,535,535
128,561,561,561
129,385,385,385
130,831,831,876
131,19,19,19
132,945,945,945
133,439,439,439
134,524,524,524
135,601,433,728
136,328,328,328
137,898,898,804
138,368,368,368
139,835,835,835
140,59,59,59
141,708,708,733
142,736,736,736
143,954,954,954
144,427,427,427
145,855,855,965
146,882,740,830
147,121,121,121
148,301,301,301
149,184,184,189
150,400,400,541
151,48,48,48
152,463,463,896
153,845,845,845
154,74,73,815
155,835,835,835
156,867,867,867
157,838,589,361
158,225,225,225
159,998,529,459
160,103,103,103
161,275,275,275
162,391,391,391
163,955,955,955
164,498,498,498
165,932,932,932
166,251,251,251
167,217,217,217
168,646,646,862
169,128,128,128
170,230,249,230
171,846,846,846
172,841,841,610
173,712,712,868
174,593,498,507
175,452,452,614
176,580,772,772
177,183,885,206
178,605,605,605
179,65,65,65
180,538,698,698
181,145,145,145
182,512,512,512
183,403,403,403
184,422,422,422
185,524,524,524
186,53,53,53
187,746,746,768
188,478,478,519
189,635,574,409
190,378,378,378
191,753,753,753
192,973,932,926
193,332,332,332
194,781,781,799
195,165,165,237
196,72,72,72
197,187,187,201
198,745,745,859
199,906,906,906
200,44,44,44
201,822,822,908
202,157,157,157
203,130,130,130
204,838,838,838
205,838,838,585
206,432,432,432
207,837,837,837
208,308,308,309
209,895,895,404
210,207,207,257
211,786,786,786
212,529,529,529
213,12,12,12
214,489,489,355
215,659,659,659
216,525,525,525
217,584,584,584
218,341,341,341
219,528,528,528
220,861,861,731
221,441,441,441
222,686,686,686
223,527,527,673
224,251,251,251
225,181,181,181
226,40,40,40
227,962,962,960
228,932,932,932
229,760,760,585
230,27,27,27
231,571,571,571
232,578,578,578
233,790,790,790
234,825,825,825
235,805,805,805
236,586,586,586
237,24,24,24
238,363,363,363
239,447,585,898
240,105,105,105
241,139,139,139
242,546,546,402
243,692,692,942
244,55,55,55
245,134,352,352
246,858,919,412
247,794,794,696
248,413,465,764
249,741,887,868
250,76,76,76
251,49,49,49
252,676,676,676
253,647,647,647
254,356,356,356
255,421,421,694
256,621,621,621
257,839,839,718
258,684,764,593
259,534,589,534
260,247,247,238
