,base pred,meta pred,true label
0,503,503,503
1,688,17,491
2,114,65,65
3,587,587,772
4,617,617,617
5,947,923,947
6,640,640,640
7,165,165,164
8,956,956,947
9,311,311,311
10,665,880,665
11,461,524,524
12,660,437,781
13,99,134,134
14,125,125,310
15,416,416,416
16,851,851,851
17,997,431,529
18,615,615,615
19,115,115,115
20,971,971,971
21,820,820,820
22,422,422,422
23,361,361,361
24,631,720,648
25,118,118,118
26,917,917,917
27,578,578,578
28,515,515,808
29,519,519,519
30,951,987,956
31,905,806,785
32,52,52,65
33,721,748,721
34,431,431,516
35,430,430,430
36,447,614,525
37,75,75,75
38,640,640,458
39,141,141,141
40,696,786,764
41,73,73,74
42,238,239,239
43,191,191,191
44,996,996,946
45,778,778,778
46,569,569,569
47,200,200,200
48,612,612,612
49,599,599,828
50,943,943,943
51,305,305,305
52,246,170,170
53,497,497,497
54,607,607,607
55,684,514,684
56,618,677,618
57,120,120,120
58,750,750,520
59,885,885,432
60,751,656,475
61,695,488,623
62,116,116,116
63,355,361,730
64,67,67,67
65,797,797,797
66,584,506,808
67,78,72,72
68,681,673,620
69,206,206,206
70,614,541,879
71,674,535,535
72,598,598,598
73,96,96,96
74,300,312,319
75,314,116,119
76,408,847,847
77,768,768,768
78,425,425,425
79,724,724,724
80,799,799,799
81,161,161,167
82,192,192,261
83,985,985,985
84,100,100,100
85,356,361,361
86,570,841,568
87,158,195,253
88,854,753,854
89,523,702,702
90,269,269,271
91,622,622,622
92,459,459,459
93,978,978,978
94,272,272,272
95,645,645,970
96,811,651,651
97,469,544,908
98,234,234,165
99,721,443,463
100,148,148,148
101,606,861,795
102,413,376,880
103,203,203,185
104,812,812,812
105,784,784,647
106,712,712,719
107,960,960,415
108,178,178,178
109,70,70,70
110,138,138,9
111,47,47,47
112,754,754,485
113,842,842,445
114,680,443,804
115,466,466,466
116,717,717,717
117,834,834,834
118,185,194,202
119,266,266,170
120,263,263,263
121,172,176,173
122,940,940,947
123,159,159,246
124,227,227,223
125,887,476,775
126,201,201,252
127,216,216,216
128,37,37,37
129,378,378,381
130,503,503,804
131,248,249,248
132,56,63,62
133,131,134,134
134,583,583,583
135,328,972,972
136,349,349,348
137,237,180,236
138,687,406,687
139,212,212,212
140,416,416,416
141,940,940,940
142,626,905,650
143,409,409,409
144,321,321,321
145,318,318,318
146,796,671,796
147,688,688,688
148,525,525,525
149,526,526,508
150,755,755,755
151,6,147,150
152,94,94,94
153,778,778,531
154,927,927,927
