,base pred,meta pred,true label
0,503,503,503
1,898,797,491
2,390,390,65
3,650,600,772
4,585,618,617
5,947,947,947
6,787,506,640
7,165,165,164
8,956,956,947
9,312,312,311
10,671,671,665
11,524,524,524
12,893,781,781
13,134,134,134
14,310,310,310
15,416,416,416
16,851,782,851
17,529,529,529
18,615,615,615
19,110,110,115
20,971,975,971
21,820,820,820
22,823,435,422
23,361,361,361
24,647,648,648
25,118,118,118
26,917,917,917
27,578,578,578
28,808,808,808
29,519,519,519
30,956,956,956
31,905,905,785
32,52,38,65
33,721,721,721
34,516,431,516
35,430,430,430
36,697,981,525
37,75,75,75
38,458,787,458
39,141,141,141
40,413,764,764
41,73,73,74
42,239,239,239
43,191,191,191
44,991,991,946
45,778,778,778
46,569,569,569
47,200,200,200
48,612,612,612
49,599,599,828
50,943,943,943
51,305,305,305
52,170,170,170
53,497,497,497
54,607,607,607
55,684,684,684
56,424,470,618
57,120,120,120
58,750,750,520
59,422,776,432
60,627,627,475
61,784,784,623
62,116,116,116
63,7,7,730
64,67,67,67
65,797,709,797
66,843,616,808
67,72,72,72
68,681,681,620
69,206,206,206
70,723,879,879
71,535,535,535
72,598,598,598
73,96,96,96
74,319,319,319
75,107,107,119
76,847,408,847
77,768,768,768
78,425,425,425
79,724,724,724
80,799,789,799
81,161,161,167
82,192,192,261
83,985,985,985
84,100,100,100
85,356,356,361
86,869,869,568
87,242,242,253
88,854,854,854
89,702,702,702
90,269,269,271
91,447,622,622
92,459,459,459
93,978,978,978
94,272,272,272
95,862,501,970
96,700,742,651
97,739,962,908
98,234,234,165
99,666,463,463
100,148,148,148
101,729,534,795
102,456,733,880
103,203,203,185
104,812,812,812
105,784,767,647
106,712,712,719
107,929,929,415
108,178,178,178
109,70,70,70
110,9,9,9
111,47,47,47
112,754,754,485
113,433,433,445
114,470,813,804
115,466,466,466
116,717,717,717
117,834,834,834
118,202,202,202
119,200,202,170
120,263,263,263
121,173,173,173
122,942,868,947
123,246,246,246
124,223,227,223
125,494,428,775
126,252,252,252
127,216,216,216
128,37,37,37
129,378,378,381
130,804,804,804
131,250,250,248
132,62,62,62
133,134,134,134
134,478,733,583
135,972,972,972
136,349,349,348
137,236,236,236
138,857,687,687
139,212,212,212
140,416,602,416
141,940,940,940
142,784,684,650
143,409,409,409
144,321,321,321
145,318,318,318
146,643,570,796
147,688,688,688
148,525,525,525
149,664,527,508
150,755,755,755
151,357,357,150
152,94,94,94
153,662,891,531
154,927,813,927
155,620,620,620
156,599,599,410
157,646,646,646
158,206,206,206
159,839,705,839
160,130,130,130
161,797,891,725
162,551,551,551
163,524,461,461
164,169,169,169
165,432,728,432
166,399,399,399
167,860,498,454
168,813,584,618
169,470,470,470
170,812,812,812
171,853,853,853
172,791,791,791
173,618,618,813
174,367,367,367
175,255,255,255
176,641,641,641
177,395,395,395
178,219,219,219
179,142,142,143
180,569,856,569
181,18,18,18
182,463,463,463
183,453,453,453
184,470,584,850
185,504,589,785
186,293,288,293
187,601,559,601
188,639,775,465
189,364,364,364
190,450,450,450
191,302,302,305
192,633,633,622
193,361,361,361
194,816,816,816
195,282,282,281
196,717,717,717
197,697,784,584
198,326,326,326
199,302,302,302
200,935,935,935
201,503,503,503
202,342,342,342
203,302,302,302
204,996,996,996
205,499,922,959
206,758,758,758
207,552,552,552
208,759,759,759
209,504,589,585
210,776,683,683
211,789,789,789
212,388,388,388
213,210,210,210
214,366,366,366
215,44,44,44
216,323,323,323
217,409,409,531
218,576,576,576
219,39,39,47
220,389,389,389
221,367,367,367
222,922,582,119
223,830,830,830
224,510,510,536
225,330,331,330
226,423,423,791
227,434,464,464
228,96,96,96
229,730,339,339
230,900,900,900
231,531,531,531
232,295,295,295
233,240,240,239
234,487,487,527
235,772,772,772
236,506,724,815
237,339,339,339
238,114,123,113
239,594,594,594
240,430,430,430
241,719,719,719
242,181,181,181
243,427,427,427
244,248,248,248
245,336,336,336
246,222,222,239
247,614,981,614
248,892,409,892
249,995,405,336
250,687,687,687
251,748,893,748
252,150,149,149
253,69,69,69
254,383,383,383
255,445,445,806
256,649,649,649
257,419,419,419
258,498,860,918
259,788,788,788
260,644,626,470
261,603,702,603
262,667,667,667
263,778,753,778
264,489,366,489
265,539,539,790
266,501,765,830
267,537,537,248
268,270,270,270
269,738,738,738
270,787,506,640
271,824,824,452
272,423,423,423
273,928,529,823
274,994,994,994
275,896,861,896
276,625,625,625
277,312,312,311
278,909,909,909
279,744,744,744
280,649,649,649
281,405,405,405
282,110,110,115
283,106,106,106
284,445,445,445
285,545,545,545
286,297,297,297
287,268,268,268
288,463,463,463
289,873,873,708
290,987,987,987
291,603,603,603
292,103,50,394
293,422,422,422
294,252,252,223
295,858,858,497
296,48,48,48
297,115,115,115
298,894,894,729
299,393,393,393
300,205,205,205
301,703,703,410
302,917,917,610
303,36,36,35
304,708,708,596
305,530,811,455
306,709,709,709
307,33,33,34
308,237,237,237
309,333,333,333
310,623,623,623
311,588,588,588
312,630,630,630
313,997,588,415
314,384,384,384
315,252,252,252
316,210,210,210
317,1,1,1
318,865,676,398
319,652,652,652
320,319,319,320
321,584,584,464
322,212,212,212
323,240,240,238
324,735,474,841
325,136,136,136
326,25,25,25
327,943,499,521
328,250,250,250
329,232,232,231
330,868,924,712
331,319,320,319
332,66,66,68
333,959,868,960
334,417,879,672
335,308,308,308
336,731,601,741
337,266,187,187
338,231,231,230
339,169,169,169
340,47,47,47
341,310,310,310
342,205,205,206
343,66,66,67
344,213,213,213
345,674,106,341
346,190,190,196
347,803,803,803
348,703,428,765
349,285,281,281
350,352,352,351
351,217,217,217
352,156,156,156
353,310,310,310
354,843,843,843
355,458,458,458
356,684,684,684
357,924,924,647
358,562,562,562
359,908,908,809
360,29,29,29
361,792,877,523
362,756,756,756
363,655,655,610
364,971,971,971
365,429,429,39
366,357,357,357
367,801,150,801
368,888,525,449
369,145,145,145
370,990,990,990
371,709,709,710
372,379,379,379
373,442,442,708
374,735,735,568
375,390,390,390
376,836,836,837
377,952,952,462
378,111,111,111
379,460,437,437
380,413,413,764
381,651,530,530
382,670,670,670
383,526,526,810
384,409,409,508
385,76,76,76
386,340,340,340
387,584,584,679
388,643,643,643
389,479,817,656
390,555,555,555
391,791,791,791
392,339,339,339
393,813,872,447
394,706,559,729
395,670,670,670
396,976,976,977
397,489,911,839
398,802,802,802
399,994,994,994
400,954,954,954
401,125,125,125
402,756,756,756
403,161,167,161
404,599,599,599
405,532,532,762
406,428,424,402
407,688,688,688
408,957,957,957
409,747,747,747
410,680,680,680
411,106,106,106
412,692,443,411
413,390,390,390
414,875,875,513
415,646,646,843
416,231,232,232
417,633,769,915
418,391,391,391
419,735,474,452
420,147,147,148
421,426,426,426
422,130,130,130
423,924,924,809
424,223,223,223
425,207,207,207
426,428,428,428
427,162,162,162
428,72,72,74
429,725,900,505
430,351,351,351
431,676,676,676
432,25,25,25
433,197,197,197
434,519,804,861
435,854,854,854
436,16,16,13
437,918,428,919
438,899,899,899
439,33,33,35
440,650,650,650
441,897,897,719
442,616,616,616
443,817,817,817
444,47,47,47
445,417,417,417
446,575,575,561
447,167,167,166
448,752,852,752
449,968,968,441
450,419,419,720
451,127,127,127
452,563,784,784
453,549,916,542
454,836,836,457
455,480,622,587
456,235,235,250
457,32,26,29
458,675,654,675
459,753,811,753
460,8,8,8
461,132,132,129
462,491,491,491
463,319,319,319
464,345,603,690
465,741,741,741
466,196,196,196
467,218,218,218
468,573,573,573
469,551,551,551
470,276,276,276
471,189,189,189
472,178,178,178
473,475,475,475
474,692,692,838
475,674,674,674
476,811,545,545
477,208,208,208
478,946,946,946
479,58,58,57
480,830,428,856
481,689,689,415
482,768,768,768
483,605,605,605
484,981,576,576
485,259,259,259
486,571,571,886
487,731,610,811
488,768,768,768
489,0,0,0
490,632,632,632
491,828,809,659
492,418,418,558
493,308,308,308
494,521,521,544
495,328,459,79
496,889,889,889
497,332,332,332
498,647,647,647
499,584,885,911
500,13,13,13
501,494,494,494
502,532,532,651
503,933,933,933
504,349,349,349
505,580,421,580
506,285,539,478
507,532,532,532
508,783,783,783
509,218,218,218
510,374,374,374
511,143,143,143
512,107,912,982
513,231,231,231
514,663,442,442
515,172,172,176
516,992,992,797
517,219,219,219
518,760,760,760
519,179,179,180
520,251,251,251
521,996,996,996
522,382,382,382
523,634,421,634
524,562,562,668
525,516,650,546
526,89,99,128
527,312,312,311
528,849,725,725
529,270,270,270
530,175,175,175
531,904,648,556
532,793,793,793
533,78,78,78
534,393,393,393
535,418,868,699
536,276,276,276
537,624,624,624
538,73,77,77
539,555,555,555
540,946,991,991
541,219,219,161
542,126,126,126
543,374,374,374
544,958,958,958
545,415,415,860
546,158,158,158
547,516,862,857
548,658,658,910
549,529,529,778
550,791,791,791
551,859,673,553
552,34,397,397
553,839,839,839
554,48,48,48
555,166,168,165
556,996,946,996
557,747,747,747
558,643,650,641
559,942,938,938
560,935,935,935
561,571,571,571
562,981,981,981
563,304,304,304
564,29,29,29
565,214,214,214
566,209,209,209
567,773,868,963
568,885,885,608
569,68,66,66
570,655,837,400
571,761,613,761
572,472,472,472
573,330,330,330
574,322,322,322
575,124,124,78
576,813,813,623
577,38,38,38
578,486,486,889
579,718,839,718
580,838,585,585
581,438,438,441
582,978,978,979
583,984,984,984
584,876,896,896
585,35,35,36
586,228,228,228
587,793,793,793
588,164,238,165
589,994,994,994
590,669,669,516
591,600,486,101
592,943,943,943
593,2,2,2
594,743,519,493
595,525,525,525
596,102,102,102
597,519,519,519
598,352,353,352
599,302,302,302
600,610,610,610
601,901,901,669
602,98,98,98
603,789,789,789
604,764,764,764
605,170,170,177
606,475,475,475
607,847,847,847
608,648,495,729
609,379,379,369
610,653,653,827
611,762,498,877
612,842,842,982
613,825,825,825
614,878,810,508
615,493,492,519
616,653,653,653
617,332,332,332
618,642,787,422
619,707,707,707
620,878,878,878
621,145,145,145
622,525,525,525
623,447,447,622
624,862,846,766
625,961,961,934
626,681,508,620
627,799,894,799
628,431,431,516
629,973,973,973
630,110,110,115
631,128,128,128
632,602,602,602
633,765,857,765
634,942,942,942
635,119,119,124
636,608,608,608
637,441,441,441
638,127,127,127
639,664,664,542
640,331,331,331
641,350,350,350
642,970,970,970
643,828,828,632
644,927,927,927
645,558,699,735
646,316,316,316
647,685,685,685
648,257,257,222
649,225,225,225
650,812,812,812
651,754,754,555
652,343,344,354
653,295,295,295
654,564,669,750
655,232,232,232
656,158,158,158
657,464,506,774
658,646,772,772
659,925,618,909
660,246,242,242
661,195,195,195
662,75,75,310
663,919,919,919
664,120,120,120
665,439,439,439
666,251,251,251
667,787,787,635
668,938,938,940
669,641,928,928
670,239,239,239
671,54,54,54
672,708,708,708
673,983,983,983
674,168,168,163
675,855,855,855
676,893,893,893
677,386,386,101
678,581,581,581
679,922,922,964
680,418,623,901
681,252,252,192
682,91,91,91
683,320,320,320
684,701,701,701
685,774,774,774
686,563,563,563
687,895,895,895
688,361,361,361
689,903,903,903
690,503,773,756
691,660,660,660
692,804,534,778
693,239,239,239
694,523,411,411
695,300,300,300
696,39,39,39
697,903,903,903
698,568,824,834
699,784,499,413
700,781,781,781
701,740,823,470
702,66,66,68
703,153,153,153
704,827,827,827
705,387,387,387
706,389,389,389
707,128,128,128
708,590,590,590
709,675,675,675
710,246,660,180
711,679,679,679
712,311,311,311
713,526,527,526
714,30,30,30
715,145,145,145
716,765,706,765
717,347,347,347
718,461,461,524
719,815,815,815
720,123,123,123
721,947,947,947
722,624,916,599
723,36,36,37
724,513,776,513
725,541,819,650
726,747,784,395
727,990,990,990
728,679,679,488
729,178,178,178
730,828,492,658
731,649,853,666
732,967,828,883
733,216,216,216
734,170,170,170
735,702,702,702
736,644,818,903
737,292,292,292
738,214,214,214
739,904,904,417
740,164,164,238
741,323,323,323
742,754,754,754
743,212,212,242
744,818,904,707
745,484,484,484
746,655,655,834
747,236,236,236
748,168,168,168
749,655,655,655
750,608,608,841
751,885,457,457
752,344,344,344
753,212,212,212
754,236,236,236
755,394,394,394
756,685,685,685
757,990,990,990
758,303,303,303
759,133,134,138
760,488,488,901
761,823,823,823
762,191,191,191
763,309,309,309
764,710,710,710
765,144,144,144
766,160,160,160
767,693,693,460
768,229,229,181
769,399,697,400
770,920,920,916
771,481,481,626
772,352,150,340
773,508,508,878
774,685,685,685
775,946,988,619
776,646,646,646
777,732,732,786
778,359,359,358
779,424,860,424
780,372,372,372
781,134,134,131
782,300,300,300
783,329,972,501
784,608,608,608
785,524,524,524
786,429,429,543
787,137,137,137
788,944,944,944
789,191,191,191
790,560,560,560
791,876,876,435
792,503,828,572
793,205,205,233
794,512,512,512
795,739,908,891
796,405,405,405
797,481,481,606
798,406,406,497
799,689,452,689
800,958,958,958
801,313,313,313
802,510,510,510
803,662,662,848
804,316,125,113
805,464,464,524
806,134,134,134
807,200,200,200
808,279,279,279
809,139,139,139
810,799,799,498
811,922,922,762
812,243,243,243
813,136,136,136
814,449,718,842
815,497,497,497
816,501,150,145
817,849,849,849
818,824,824,735
819,13,13,13
820,166,166,166
821,480,480,860
822,981,981,981
823,725,725,725
824,761,810,477
825,731,967,647
826,30,32,30
827,129,129,129
828,137,137,137
829,681,620,526
830,128,128,136
831,717,494,825
832,202,202,202
833,670,670,870
834,626,710,674
835,130,130,130
836,435,435,435
837,986,986,986
838,303,303,303
839,865,850,910
840,841,841,615
841,787,794,559
