,base pred,meta pred,true label
0,31,31,64
1,212,212,257
2,47,47,47
3,41,41,41
4,181,181,181
5,603,603,603
6,495,495,495
7,449,449,460
8,34,34,34
9,564,564,887
10,859,859,859
11,281,281,281
12,981,981,981
13,3,3,396
14,9,9,9
15,997,997,986
16,482,482,782
17,316,316,316
18,126,126,126
19,613,613,865
20,760,760,760
21,203,203,203
22,510,510,510
23,264,264,264
24,491,491,491
25,239,239,240
26,925,925,925
27,954,954,954
28,618,618,451
29,334,334,334
30,804,804,804
31,344,344,344
32,195,195,195
33,588,588,588
34,83,83,82
35,74,74,73
36,237,237,237
37,951,951,951
38,551,551,551
39,387,387,387
40,979,979,979
41,3,3,3
42,966,966,968
43,520,520,516
44,994,994,994
45,348,348,560
46,257,257,257
47,549,549,692
48,883,883,883
49,231,231,230
50,571,571,571
51,432,432,683
52,569,569,569
53,335,335,335
54,504,504,415
55,202,202,202
56,364,364,364
57,412,412,469
58,20,20,20
59,457,424,666
60,925,925,925
61,510,510,510
62,255,255,255
63,469,469,967
64,23,23,23
65,418,418,801
66,549,542,909
67,812,812,812
68,461,461,524
69,80,80,80
70,638,638,638
71,157,157,157
72,183,183,183
73,759,759,633
74,281,281,285
75,230,230,226
76,155,155,154
77,93,93,93
78,830,830,728
79,716,716,716
80,472,472,693
81,734,734,734
82,401,401,650
83,384,384,384
84,668,668,668
85,466,466,466
86,40,40,44
87,863,863,863
88,141,141,141
89,472,472,476
90,490,490,490
91,324,324,324
92,170,170,175
93,265,265,850
94,148,148,148
95,954,954,954
96,42,42,47
97,545,545,728
98,476,476,476
99,632,632,632
100,430,430,430
101,329,329,329
102,65,65,65
103,77,77,77
104,145,145,145
105,259,259,259
106,473,473,623
107,470,470,644
108,155,155,155
109,622,622,622
110,708,708,708
111,209,209,209
112,431,431,516
113,925,925,925
114,966,966,959
115,762,762,424
116,505,505,505
117,569,569,803
118,337,337,360
119,649,649,835
120,412,412,765
121,384,384,384
122,508,508,508
123,584,584,600
124,274,274,274
125,620,620,620
126,866,866,866
127,535,535,535
128,561,561,561
129,101,101,385
130,435,435,876
131,19,19,19
132,945,945,945
133,439,439,439
134,461,461,524
135,655,655,728
136,328,328,328
137,804,804,804
138,368,368,368
139,492,492,835
140,59,59,59
141,144,144,733
142,736,736,736
143,954,954,954
144,427,427,427
145,432,432,965
146,480,480,830
147,121,121,121
148,304,304,301
149,189,189,189
150,601,601,541
151,48,48,48
152,659,659,896
153,845,845,845
154,74,74,815
155,835,835,835
156,867,867,867
157,585,585,361
158,225,225,225
159,443,443,459
160,103,103,103
161,275,275,275
162,391,391,391
163,955,955,955
164,454,454,498
165,932,932,932
166,251,251,251
167,217,217,217
168,655,655,862
169,128,128,128
170,230,230,230
171,846,846,846
172,841,841,610
173,868,868,868
174,507,507,507
175,431,431,614
176,513,513,772
177,179,179,206
178,605,605,605
179,65,65,65
180,698,698,698
181,145,145,145
182,512,512,512
183,403,403,403
184,543,543,422
185,524,524,524
186,53,53,53
187,560,560,768
188,549,549,519
189,635,635,409
190,378,378,378
191,753,753,753
192,932,932,926
193,332,332,332
194,727,727,799
195,237,237,237
196,72,72,72
197,187,187,201
198,581,581,859
199,440,440,906
200,44,44,44
201,467,467,908
202,157,157,157
203,130,130,130
204,447,585,838
205,585,585,585
206,432,432,432
207,837,837,837
208,308,308,309
209,895,895,404
210,207,207,257
211,786,786,786
212,529,529,529
213,12,12,12
214,489,489,355
215,659,659,659
216,525,525,525
217,584,584,584
218,341,341,341
219,528,528,528
220,861,861,731
221,441,441,441
222,686,587,686
223,527,527,673
224,251,251,251
225,105,105,181
226,40,40,40
227,962,962,960
228,932,932,932
229,414,414,585
230,27,27,27
231,571,571,571
232,578,578,578
233,790,790,790
234,825,825,825
235,805,805,805
236,586,586,586
237,24,24,24
238,363,363,363
239,513,513,898
240,105,105,105
241,139,139,139
242,402,402,402
243,942,942,942
244,64,64,55
245,352,352,352
246,575,575,412
247,903,591,696
248,413,413,764
249,556,556,868
250,76,76,76
251,49,49,49
252,676,676,676
253,647,647,647
254,356,356,356
255,421,421,694
