,base pred,meta pred,true label
0,269,269,269
1,466,466,466
2,787,787,787
3,592,592,592
4,364,364,364
5,932,932,932
6,816,816,816
7,987,987,987
8,438,438,503
9,360,360,356
10,731,731,731
11,770,770,770
12,485,485,482
13,380,380,384
14,118,118,118
15,957,957,957
16,533,533,824
17,71,71,71
18,399,399,824
19,837,837,837
20,441,441,441
21,311,311,311
22,777,512,777
23,889,650,889
24,359,358,358
25,673,673,613
26,356,356,356
27,343,343,343
28,763,763,763
29,564,564,564
30,541,541,541
31,289,289,289
32,542,542,542
33,270,270,270
34,329,329,115
35,620,620,632
36,665,665,665
37,333,338,333
38,624,624,762
39,641,641,641
40,886,886,886
41,347,347,347
42,194,194,175
43,771,771,771
44,883,883,85
45,369,369,369
46,132,132,131
47,585,585,998
48,634,634,634
49,770,770,770
50,367,367,367
51,55,55,55
52,575,575,575
53,790,790,790
54,372,372,373
55,640,640,640
56,401,401,401
57,476,476,476
58,529,529,529
59,754,754,848
60,197,233,219
61,687,687,687
62,490,490,616
63,543,543,543
64,760,760,790
65,573,573,977
66,493,493,771
67,818,498,727
68,617,617,697
69,75,75,75
70,880,880,671
71,529,529,529
72,684,684,684
73,663,663,663
74,916,916,920
75,248,248,250
76,840,840,840
77,542,542,644
78,959,959,927
79,727,727,727
80,778,778,778
81,49,49,973
82,471,471,471
83,415,951,958
84,186,186,194
85,972,972,972
86,690,690,345
87,281,281,281
88,580,498,424
89,47,47,47
90,605,859,662
91,406,406,884
92,828,828,463
93,397,972,390
94,306,306,306
95,706,421,421
96,846,619,619
97,638,638,655
98,606,606,606
99,794,794,794
100,865,865,509
101,186,186,186
102,734,734,734
103,524,524,461
104,31,31,31
105,16,16,16
106,804,804,898
107,52,52,60
108,476,476,706
109,171,171,151
110,905,905,905
111,961,961,961
112,103,103,103
113,765,765,765
114,138,138,134
115,144,144,144
116,267,267,267
117,927,927,959
118,536,576,536
119,818,818,494
120,837,837,629
121,850,850,850
122,22,22,22
123,510,510,510
124,156,156,156
125,311,311,312
126,136,136,136
127,983,983,983
128,551,551,633
129,47,42,47
130,894,894,799
131,821,821,580
132,120,120,120
133,453,532,534
134,579,579,579
135,359,359,359
136,902,902,902
137,833,833,833
138,495,495,495
139,24,24,24
140,177,177,177
141,529,529,529
142,490,490,490
143,52,52,53
144,344,344,344
145,188,188,188
146,243,243,243
147,353,353,353
148,198,198,196
149,18,18,18
