,cate,accuracy,balacc,f1score,cosine,jaccard,logloss,person
0,pose,0.5333333333333333,0.5333333333333333,0.6956521739130436,0.7302967433402215,0.5333333333333333,16.820371581588002,Carl
1,partial_view,0.8,0.8,0.0,1.0,0.0,7.2087306778234295,Carl
2,object_blocking,1.0,1.0,0.0,1.0,0.0,2.220446049250313e-16,Carl
3,person_blocking,0.9333333333333333,0.9333333333333333,0.0,1.0,0.0,2.4029102259411435,Carl
4,multiple_objects,0.8333333333333334,0.8333333333333334,0.0,1.0,0.0,6.007275564852859,Carl
5,smaller,0.8,0.6607142857142857,0.25,0.28867513459481287,0.14285714285714285,7.2087306778234295,Carl
6,larger,0.8,0.896551724137931,0.25,0.3779644730092272,0.14285714285714285,7.20873067782343,Carl
7,brighter,1.0,1.0,0.0,1.0,0.0,2.220446049250313e-16,Carl
8,darker,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,Carl
9,background,0.43333333333333335,0.6964285714285714,0.5641025641025641,0.6267831705280087,0.39285714285714285,20.424736920499715,Carl
10,color,0.9,0.8920454545454546,0.823529411764706,0.8249579113843055,0.7,3.604365338911715,Carl
11,shape,0.8666666666666667,0.8666666666666667,0.0,1.0,0.0,4.805820451882287,Carl
12,texture,0.9,0.9,0.0,1.0,0.0,3.604365338911715,Carl
13,pattern,0.6666666666666666,0.5454545454545454,0.16666666666666669,0.30151134457776363,0.09090909090909091,12.014551129705717,Carl
14,style,1.0,1.0,0.0,1.0,0.0,2.220446049250313e-16,Carl
15,subcategory,0.9,0.9482758620689655,0.4,0.5,0.25,3.604365338911715,Carl
16,pose,0.3333333333333333,0.3333333333333333,0.5,0.5773502691896257,0.3333333333333333,24.029102259411435,Mads
17,partial_view,0.8,0.8,0.0,1.0,0.0,7.2087306778234295,Mads
18,object_blocking,0.9666666666666667,0.9666666666666667,0.0,1.0,0.0,1.2014551129705717,Mads
19,person_blocking,0.9333333333333333,0.9333333333333333,0.0,1.0,0.0,2.4029102259411435,Mads
20,multiple_objects,0.8333333333333334,0.8333333333333334,0.0,1.0,0.0,6.007275564852859,Mads
21,smaller,0.9,0.9464285714285714,0.5714285714285715,0.6324555320336759,0.4,3.604365338911715,Mads
22,larger,0.7666666666666667,0.39655172413793105,0.0,0.0,0.0,8.410185790794001,Mads
23,brighter,0.8333333333333334,0.8333333333333334,0.0,1.0,0.0,6.007275564852859,Mads
