,base pred,meta pred,true label
0,271,271,269
1,466,466,466
2,787,787,787
3,592,592,592
4,364,364,364
5,932,932,932
6,816,816,816
7,987,987,987
8,855,438,503
9,360,360,356
10,428,523,731
11,587,770,770
12,754,485,482
13,380,380,384
14,118,118,118
15,957,957,957
16,824,824,824
17,71,71,71
18,643,643,824
19,837,837,837
20,441,441,441
21,312,312,311
22,777,777,777
23,889,486,889
24,359,356,358
25,673,673,613
26,336,336,356
27,343,343,343
28,763,763,763
29,564,564,564
30,541,819,541
31,289,289,289
32,542,542,542
33,270,270,270
34,329,329,115
35,590,632,632
36,665,665,665
37,333,333,333
38,762,762,762
39,641,641,641
40,664,509,886
41,347,347,347
42,175,175,175
43,771,771,771
44,533,774,85
45,369,369,369
46,131,131,131
47,998,998,998
48,634,634,634
49,770,770,770
50,367,367,367
51,64,64,55
52,575,575,575
53,840,787,790
54,373,373,373
55,640,640,640
56,401,401,401
57,476,476,476
58,529,529,529
59,848,482,848
60,233,233,219
61,687,687,687
62,616,616,616
63,543,543,543
64,865,865,790
65,976,977,977
66,894,789,771
67,819,819,727
68,614,614,697
69,75,75,75
70,665,456,671
71,443,981,529
72,684,684,684
73,663,708,663
74,916,893,920
75,248,250,250
76,462,462,840
77,623,558,644
78,927,927,927
79,884,657,727
80,778,778,778
81,973,973,973
82,447,447,471
83,962,868,958
84,194,194,194
85,972,972,972
86,345,345,345
87,281,281,281
88,480,480,424
89,47,47,47
90,848,848,662
91,406,406,884
92,828,828,463
93,33,33,390
94,316,304,306
95,706,706,421
96,619,619,619
97,639,836,655
98,606,606,606
99,794,794,794
100,860,865,509
101,186,186,186
102,734,734,734
103,524,461,461
104,31,31,31
105,16,16,16
106,804,711,898
107,54,60,60
108,706,421,706
109,171,171,151
110,549,549,905
111,961,961,961
112,103,103,103
113,765,765,765
114,99,99,134
115,144,144,144
116,267,267,267
117,927,959,959
118,536,536,536
119,428,791,494
120,837,837,629
121,910,658,850
122,22,22,22
123,510,510,510
124,156,156,156
125,311,312,312
126,136,136,136
127,983,983,983
128,633,633,633
129,42,44,47
130,729,495,799
131,821,525,580
132,120,120,120
133,729,729,534
134,683,683,579
135,359,359,359
136,154,265,902
137,833,833,833
138,495,495,495
139,24,24,24
140,177,177,177
141,414,981,529
142,490,490,490
143,53,53,53
144,344,344,344
145,188,188,188
146,243,243,243
147,351,351,353
148,196,196,196
149,18,18,18
150,777,777,777
151,355,355,355
152,533,533,533
153,708,708,708
154,905,905,905
155,679,679,679
156,968,968,968
157,526,526,526
158,224,224,224
159,168,209,211
160,526,526,495
161,504,968,504
162,761,761,804
163,200,200,196
164,42,42,44
165,311,311,317
166,374,374,374
167,211,211,209
168,251,251,251
169,737,440,733
170,105,105,105
171,911,911,911
172,417,424,21
173,65,65,65
174,593,593,593
175,732,732,732
176,883,868,679
177,870,870,870
178,923,922,922
179,573,573,573
180,171,171,172
181,476,476,476
182,344,344,344
183,922,922,961
184,199,199,199
185,625,625,625
186,604,604,604
187,470,470,470
188,912,912,912
189,25,25,26
190,622,622,838
191,46,46,40
192,467,467,467
193,966,967,967
194,679,679,600
195,514,514,514
196,503,503,898
197,888,470,668
198,470,470,470
199,119,119,119
200,738,738,738
201,572,572,572
202,525,525,525
203,261,261,261
204,381,381,381
205,407,407,407
206,626,626,710
207,464,464,857
208,888,888,888
209,216,216,216
210,62,62,62
211,223,223,281
212,580,738,428
213,259,259,259
214,808,808,434
215,520,520,520
216,84,84,84
217,473,868,778
218,749,749,749
219,722,678,980
220,710,710,593
221,434,539,885
222,6,6,6
223,138,138,138
224,143,143,146
225,709,709,709
226,516,516,516
227,813,813,623
228,841,841,735
229,874,874,874
230,142,142,142
231,956,956,989
232,307,304,307
233,968,504,967
234,329,329,329
235,804,804,897
236,422,422,422
237,608,608,608
238,443,443,443
239,443,443,443
240,857,857,857
241,104,104,104
242,874,874,874
243,728,728,869
244,483,483,483
245,441,441,692
246,418,418,418
247,584,584,714
248,698,698,698
249,689,399,399
250,463,463,463
251,282,281,281
252,711,891,778
253,964,930,932
254,772,772,633
255,112,112,112
256,470,470,619
257,244,244,244
258,48,48,45
259,908,909,925
260,895,895,404
261,284,284,284
262,205,256,279
263,337,337,337
264,787,868,388
265,106,106,106
266,360,150,33
267,666,809,809
268,601,601,601
269,980,980,980
270,167,167,166
271,418,418,418
272,435,435,823
273,435,284,284
274,118,118,118
275,524,524,524
276,14,14,14
277,136,136,136
278,342,342,342
279,469,792,669
280,859,859,859
281,412,412,637
282,563,563,563
283,932,932,932
284,451,451,451
285,700,700,700
286,124,124,118
287,137,133,91
288,998,998,700
289,922,922,112
290,112,112,112
291,49,49,49
292,739,739,739
293,534,534,534
294,429,852,429
295,9,9,9
296,63,63,63
297,178,178,246
298,566,566,566
299,190,190,190
300,936,936,936
301,846,846,846
302,681,681,928
303,710,749,792
304,630,630,630
305,64,64,64
306,26,26,26
307,27,27,27
308,118,118,118
309,602,602,702
310,372,372,372
311,947,947,947
312,519,843,559
313,184,184,216
314,400,667,667
315,900,711,711
316,433,433,842
317,263,263,676
318,784,749,681
319,948,948,506
320,167,167,162
321,979,440,820
322,970,970,970
323,262,262,262
324,584,584,584
325,630,630,630
326,910,452,910
327,815,323,935
328,890,890,890
329,314,314,314
330,537,537,537
331,108,108,108
332,674,674,674
333,20,20,20
334,42,42,42
335,247,247,247
336,926,926,926
337,824,452,452
338,808,515,515
339,463,412,519
340,55,64,64
341,173,173,173
342,464,763,763
343,136,136,136
344,166,166,167
345,804,804,804
346,41,41,41
347,755,755,755
348,161,161,161
349,364,364,364
350,154,259,151
351,832,832,832
352,74,72,72
353,135,135,135
354,801,344,51
355,952,952,952
356,631,631,631
357,93,93,145
358,22,21,557
359,501,501,501
360,249,249,250
361,6,5,103
362,16,16,448
363,611,611,611
364,584,697,452
365,86,86,86
366,707,707,707
367,872,710,891
368,528,528,528
369,982,982,33
370,199,199,223
371,574,574,574
372,920,478,424
373,536,536,912
374,348,338,348
375,776,776,776
376,148,148,148
377,62,57,54
378,988,988,988
379,513,513,513
380,432,432,432
381,322,322,322
382,466,466,466
383,320,320,320
384,433,433,433
385,420,420,420
386,412,412,877
387,489,489,489
388,220,220,220
389,860,860,424
390,906,587,666
391,677,677,677
392,147,147,147
393,689,689,689
394,860,454,424
395,711,711,711
396,162,162,162
397,780,780,780
398,176,176,176
399,941,941,940
400,194,146,299
401,244,244,244
402,505,849,725
403,377,377,377
404,140,140,142
405,707,707,707
406,933,933,933
407,170,170,170
408,656,656,656
409,574,574,574
410,783,783,677
411,381,381,381
412,224,224,224
413,727,727,727
414,317,317,317
415,524,524,524
416,958,958,961
417,492,492,519
418,652,652,652
419,513,513,875
420,508,508,664
421,650,503,855
422,963,963,963
423,411,834,703
424,525,912,634
425,814,814,814
426,909,909,909
427,428,428,456
428,593,593,593
429,828,712,901
430,75,75,75
431,700,700,700
432,539,539,539
433,330,331,331
434,752,752,752
435,230,232,232
436,792,825,891
437,870,444,834
438,551,966,968
439,51,51,51
440,913,913,913
441,798,798,798
442,73,73,73
443,0,0,0
444,560,697,765
445,858,858,853
446,305,305,305
447,869,869,869
448,355,355,355
449,854,854,84
450,992,992,992
451,763,763,763
452,677,677,677
453,877,877,877
454,262,262,184
455,546,402,546
456,930,929,963
457,618,577,859
458,215,215,215
459,587,587,587
460,582,582,931
461,68,66,56
462,644,644,709
463,148,148,148
464,811,811,798
465,327,327,327
466,435,975,408
467,718,839,718
468,542,542,542
469,124,123,123
470,579,579,579
471,301,301,301
472,699,699,699
473,902,902,902
474,212,212,217
475,286,286,286
476,954,954,954
477,234,234,234
478,934,934,934
479,505,505,725
480,998,998,861
481,865,860,865
482,563,563,563
483,193,193,186
484,850,850,865
485,717,717,717
486,191,191,191
487,831,831,831
488,1,1,1
489,244,244,244
490,474,474,474
491,672,672,672
492,961,961,961
493,383,383,383
494,673,811,526
495,472,472,472
496,31,31,31
497,501,501,793
498,344,344,344
499,418,626,626
500,191,191,191
501,372,372,372
502,325,325,325
503,977,971,150
504,440,440,440
505,850,885,927
506,300,302,302
507,89,89,89
508,41,41,42
509,303,303,303
510,605,605,605
511,46,46,40
512,752,332,332
513,694,974,974
514,941,941,941
515,515,515,808
516,329,329,115
517,320,320,320
518,988,988,988
519,919,919,919
520,950,950,949
521,344,344,344
522,775,667,400
523,170,170,170
524,86,86,86
525,729,745,759
526,317,317,74
527,422,422,422
528,434,797,797
529,393,393,392
530,755,755,755
531,318,318,317
532,282,876,728
533,337,337,337
534,487,487,487
535,915,915,915
536,66,66,66
537,700,692,692
538,724,724,724
539,481,754,590
540,426,426,426
541,473,473,473
542,669,669,669
543,856,856,856
544,761,662,499
545,154,154,154
546,926,926,926
547,997,997,997
548,232,730,256
549,123,123,123
550,605,605,605
551,805,805,805
552,727,727,538
553,555,555,555
554,928,928,928
555,381,381,377
556,134,134,134
557,230,230,230
558,798,798,798
559,167,162,162
560,52,52,110
561,656,656,609
562,966,966,966
563,458,458,458
564,362,362,362
565,742,742,713
566,56,56,56
567,144,144,144
568,41,41,41
569,354,354,354
570,745,745,633
571,274,274,274
572,633,633,633
573,621,621,621
574,429,429,429
575,10,10,10
576,341,338,355
577,975,975,977
578,219,216,219
579,926,926,926
580,243,243,243
581,413,764,413
582,504,900,966
583,70,70,70
584,781,781,781
585,930,930,930
586,339,752,275
587,675,609,555
588,340,340,9
589,39,39,39
590,775,775,515
591,57,57,57
592,735,735,735
593,120,120,119
594,626,626,626
595,552,552,552
596,130,130,130
597,46,46,46
598,736,736,736
599,535,535,535
600,629,629,629
601,424,414,813
602,153,153,204
603,884,884,663
604,303,307,307
605,642,642,642
606,600,600,481
607,515,515,467
608,646,646,646
609,25,25,25
610,839,839,977
611,53,53,53
612,212,212,212
613,653,653,653
614,421,421,421
615,124,124,122
616,329,329,329
617,558,558,499
618,898,414,523
619,773,773,773
620,943,945,943
621,90,90,90
622,108,108,327
623,792,674,499
624,903,903,903
625,644,804,788
626,217,217,217
627,726,726,726
628,817,817,817
629,291,271,291
630,870,444,834
631,760,851,498
632,685,685,685
633,538,538,538
634,386,386,386
635,523,600,539
636,576,576,576
637,476,476,634
638,130,130,130
639,599,599,599
640,112,112,112
641,898,551,768
642,26,26,27
643,941,941,941
644,908,908,908
645,330,330,330
646,794,794,741
647,435,435,876
648,641,641,641
649,34,50,107
650,646,646,835
651,359,359,358
652,557,557,557
653,656,656,656
654,266,265,266
655,382,382,382
656,529,529,529
657,992,992,992
658,199,199,199
659,420,420,420
660,629,928,845
661,244,244,244
662,609,803,734
663,879,556,708
664,38,38,38
665,79,117,112
666,874,874,874
667,279,279,279
668,805,805,251
669,454,454,582
670,104,104,355
671,9,9,9
672,495,495,495
673,846,846,619
674,978,978,978
675,618,462,876
676,550,550,550
677,358,358,358
678,568,655,822
679,278,278,278
680,366,366,366
681,539,916,767
682,29,29,29
683,964,964,964
684,124,25,25
685,792,672,858
686,286,286,286
687,119,119,119
688,650,650,558
689,224,224,226
690,480,480,480
691,295,294,294
692,849,849,849
693,407,407,407
694,262,262,262
695,682,682,682
696,294,294,294
697,480,498,918
698,872,507,686
699,809,809,720
700,843,456,456
701,73,73,72
702,892,892,711
703,982,982,982
704,124,124,124
705,246,180,243
706,28,28,28
707,793,793,793
708,373,133,86
709,244,244,244
710,796,735,636
711,469,469,809
712,700,588,860
713,168,168,168
714,378,378,378
715,870,912,728
716,288,288,288
717,740,674,600
718,426,426,426
719,937,937,937
720,347,347,366
721,727,727,727
722,749,749,635
723,488,488,679
724,528,528,528
725,947,951,986
726,813,549,677
727,245,245,245
728,854,904,854
729,810,508,508
730,121,121,121
731,565,565,565
732,997,997,986
733,83,134,138
734,180,180,167
