,base pred,meta pred,true label
0,304,304,64
1,176,176,257
2,47,47,47
3,46,46,41
4,181,181,181
5,603,603,603
6,495,495,495
7,646,646,460
8,34,34,34
9,699,699,887
10,859,859,859
11,281,281,281
12,981,981,981
13,150,150,396
14,9,9,9
15,997,997,986
16,664,664,782
17,316,316,316
18,126,126,126
19,740,740,865
20,570,570,760
21,203,203,203
22,510,510,510
23,264,264,264
24,491,491,491
25,239,239,240
26,908,908,925
27,954,954,954
28,584,584,451
29,334,334,334
30,804,804,804
31,344,344,344
32,195,195,195
33,790,790,588
34,83,83,82
35,309,309,73
36,158,158,237
37,951,951,951
38,551,551,551
39,387,387,387
40,979,979,979
41,3,3,3
42,967,967,968
43,520,520,516
44,994,994,994
45,560,560,560
46,257,257,257
47,216,216,692
48,883,883,883
49,361,361,230
50,571,571,571
51,683,683,683
52,569,569,569
53,335,335,335
54,666,666,415
55,183,184,202
56,364,364,364
57,854,854,469
58,20,20,20
59,898,898,666
60,925,925,925
61,510,510,510
62,255,255,255
63,314,876,967
64,21,21,23
65,585,585,801
66,618,618,909
67,812,812,812
68,461,524,524
69,80,80,80
70,638,638,638
71,157,157,157
72,183,183,183
73,633,633,633
74,106,282,285
75,230,231,226
76,155,155,154
77,93,93,93
78,728,728,728
79,716,716,716
80,693,693,693
81,734,734,734
82,650,650,650
83,384,384,384
84,668,668,668
85,466,466,466
86,67,67,44
87,863,863,863
88,141,141,141
89,476,476,476
90,490,490,490
91,324,324,324
92,175,175,175
93,850,850,850
94,148,148,148
95,954,954,954
96,42,42,47
97,545,545,728
98,476,476,476
99,632,632,632
100,430,430,430
101,329,329,329
102,65,65,65
103,77,77,77
104,145,145,145
105,259,259,259
106,623,623,623
107,470,470,644
108,155,155,155
109,622,622,622
110,708,708,708
111,209,209,209
112,516,516,516
113,925,925,925
114,966,966,959
115,423,423,424
116,505,505,505
117,569,867,803
118,337,337,360
119,825,825,835
120,412,454,765
121,384,384,384
122,508,508,508
123,931,931,600
124,274,274,274
125,620,620,620
126,730,730,866
127,535,535,535
128,561,561,561
129,385,385,385
130,876,435,876
131,19,19,19
132,945,945,945
133,439,439,439
134,524,524,524
135,919,919,728
136,328,328,328
137,710,710,804
138,368,368,368
139,708,708,835
140,59,59,59
141,144,144,733
142,736,736,736
143,954,954,954
144,427,427,427
145,767,767,965
146,882,882,830
147,121,121,121
148,301,301,301
149,202,202,189
150,400,400,541
151,48,48,48
152,659,659,896
153,845,845,845
154,73,73,815
155,835,835,835
156,867,867,867
157,447,447,361
158,225,225,225
159,680,680,459
160,103,103,103
161,275,275,275
162,391,391,391
163,955,955,955
164,498,498,498
165,932,932,932
166,251,251,251
167,217,217,217
168,862,862,862
169,128,128,128
170,232,232,230
171,846,846,846
172,597,597,610
173,868,868,868
174,507,507,507
175,838,838,614
176,580,580,772
177,18,18,206
178,605,605,605
179,65,65,65
180,698,698,698
181,145,145,145
182,871,871,512
183,403,403,403
184,543,543,422
185,524,524,524
186,53,53,53
187,560,560,768
188,688,688,519
189,635,635,409
190,378,378,378
191,753,753,753
192,415,415,926
193,332,332,332
194,538,538,799
195,237,237,237
196,74,72,72
197,201,201,201
198,745,745,859
199,906,906,906
200,44,44,44
201,469,469,908
202,157,157,157
203,130,130,130
204,838,838,838
205,838,838,585
206,432,432,432
207,837,837,837
208,308,308,309
209,617,617,404
210,208,208,257
211,786,786,786
212,529,529,529
213,12,12,12
214,489,489,355
215,659,659,659
216,525,525,525
217,584,584,584
218,341,341,341
219,528,528,528
220,731,731,731
221,441,441,441
222,686,686,686
223,527,527,673
224,251,251,251
225,181,181,181
226,40,40,40
227,962,962,960
228,932,932,932
229,998,998,585
230,27,27,27
231,571,571,571
232,578,578,578
233,588,588,790
234,825,825,825
235,805,805,805
236,586,586,586
237,24,24,24
238,363,363,363
239,898,898,898
240,105,105,105
241,139,139,139
242,546,402,402
243,920,920,942
244,64,55,55
245,352,352,352
246,412,412,412
247,677,677,696
248,413,413,764
249,868,868,868
250,76,77,76
251,49,49,49
252,676,676,676
253,647,647,647
254,356,356,356
255,694,694,694
256,621,621,621
257,839,839,718
258,498,498,593
259,651,651,534
260,218,218,238
261,344,344,344
262,650,650,650
263,713,713,713
264,69,69,43
265,855,71,464
266,925,925,908
267,418,418,657
268,371,371,371
269,426,426,426
270,651,651,818
271,301,301,301
272,921,921,921
273,889,889,401
274,270,270,270
275,974,974,974
276,505,505,503
277,250,250,835
278,411,885,797
279,367,367,367
280,528,528,849
281,487,487,487
282,479,479,801
283,597,597,597
284,682,682,682
285,928,928,928
286,161,161,163
287,967,659,659
288,450,450,45
289,718,718,718
290,448,448,448
291,428,428,829
292,724,724,724
293,890,890,733
294,99,99,83
295,172,172,172
296,189,189,187
297,635,635,635
298,286,286,287
299,652,652,665
300,971,971,971
301,498,498,498
302,279,279,279
303,524,601,462
304,861,894,502
305,252,252,252
306,241,241,167
307,372,372,372
308,138,138,138
309,673,823,917
310,455,455,455
311,212,212,212
312,86,86,86
313,445,445,445
314,993,616,616
315,865,860,788
316,375,375,375
317,624,624,453
318,435,435,435
319,655,655,655
320,506,506,506
321,210,210,210
322,204,204,204
323,185,185,202
324,458,458,458
325,689,689,411
326,525,525,881
327,399,399,399
328,429,429,574
329,209,209,209
330,362,360,360
331,67,67,67
332,201,201,201
333,575,586,997
334,321,321,321
335,950,950,950
336,720,720,720
337,566,566,566
338,915,915,915
339,815,815,73
340,262,262,262
341,625,625,625
342,780,780,871
343,906,906,398
344,472,472,472
345,419,419,774
346,769,790,588
347,631,631,631
348,417,417,417
349,299,24,189
350,107,107,107
351,491,491,491
352,623,525,525
353,445,445,445
354,90,90,90
355,461,443,524
356,297,297,297
357,644,644,644
358,572,572,441
359,809,809,986
360,849,849,849
361,702,702,702
362,550,550,541
363,114,114,26
364,368,368,368
365,745,745,771
366,452,452,986
367,41,41,41
368,133,133,142
369,702,702,702
370,796,796,796
371,571,571,571
372,875,875,875
373,539,539,539
374,720,720,720
375,874,660,717
376,566,566,566
377,533,533,539
378,308,308,308
379,838,838,928
380,787,787,619
381,221,221,221
382,461,524,689
383,362,362,362
384,447,447,799
385,184,184,182
386,77,77,77
387,752,752,752
388,635,635,712
389,697,697,885
390,462,462,462
391,451,451,451
392,509,509,509
393,933,933,933
394,240,240,240
395,812,812,812
396,834,905,834
397,447,818,447
398,401,401,401
399,945,945,943
400,67,67,67
401,215,215,215
402,318,318,318
403,758,758,758
404,297,297,297
405,152,152,152
406,222,222,222
407,672,672,672
408,23,23,8
409,971,971,971
410,28,28,28
411,714,714,714
412,943,943,520
413,802,802,802
414,399,399,399
415,980,980,980
416,369,369,369
417,482,482,482
418,870,870,870
419,404,907,907
420,679,679,679
421,528,528,528
422,778,778,778
423,486,486,889
424,507,665,571
425,619,619,747
426,606,606,606
427,730,730,730
428,520,520,520
429,427,427,427
430,870,870,870
431,786,786,786
432,22,22,22
433,359,377,377
434,657,657,657
435,862,862,363
436,821,821,821
437,308,308,302
438,857,857,857
439,836,836,836
440,95,95,95
441,933,933,933
442,794,794,794
443,974,974,977
444,551,551,551
445,471,471,471
446,530,530,530
447,620,620,681
448,534,534,729
449,97,97,97
450,887,887,887
451,912,912,912
452,492,492,492
453,580,580,903
454,829,829,829
455,785,785,785
456,34,34,337
457,878,878,401
458,831,750,831
459,938,938,938
460,347,347,347
461,710,710,710
462,855,855,855
463,785,785,776
464,366,366,365
465,306,306,306
466,240,240,240
467,322,322,322
468,631,631,711
469,95,95,95
470,982,982,393
471,795,795,796
472,810,810,810
473,2,2,2
474,552,552,552
475,207,207,208
476,536,536,718
477,528,528,773
478,833,833,833
479,706,706,883
480,372,372,372
481,501,501,717
482,884,884,406
483,392,392,392
484,752,752,752
485,642,889,753
486,321,321,322
487,671,671,671
488,952,952,952
489,699,699,699
490,807,807,807
491,305,305,305
492,494,494,695
493,416,416,639
494,748,748,709
495,248,248,248
496,4,4,4
497,917,917,906
498,561,561,561
499,354,354,354
500,282,282,282
501,191,191,191
502,932,932,932
503,87,87,87
504,584,584,927
505,845,845,845
