,base pred,meta pred,true label
0,722,722,722
1,345,345,351
2,135,135,135
3,15,15,15
4,621,621,661
5,437,437,437
6,247,247,247
7,353,353,353
8,934,934,934
9,448,448,448
10,87,87,87
11,257,257,257
12,625,625,625
13,616,616,616
14,898,898,952
15,374,374,373
16,897,897,897
17,802,802,802
18,524,461,777
19,586,586,586
20,494,494,494
21,69,69,69
22,706,706,815
23,820,820,820
24,965,965,965
25,140,140,140
26,908,908,908
27,465,465,691
28,774,774,774
29,768,768,768
30,779,779,779
31,167,167,162
32,311,311,312
33,305,305,305
34,644,644,644
35,358,358,358
36,379,379,379
37,438,793,739
38,108,108,108
39,391,391,124
40,873,873,873
41,784,784,602
42,957,957,957
43,212,212,212
44,866,866,866
45,487,784,487
46,909,909,813
47,433,433,433
48,949,949,949
49,336,336,336
50,937,937,937
51,136,136,136
52,751,751,817
53,713,713,713
54,167,180,168
55,875,875,875
56,692,692,761
57,556,556,564
58,500,500,500
59,321,321,945
60,262,262,262
61,354,354,354
62,165,165,165
63,307,307,307
64,160,160,160
65,135,135,135
66,314,314,314
67,824,824,824
68,723,723,723
69,695,695,695
70,680,680,680
71,892,892,409
72,491,491,491
73,343,343,343
74,116,116,116
75,295,295,297
76,600,600,600
77,465,465,465
78,542,542,602
79,28,28,28
80,904,904,904
81,935,935,935
82,931,931,931
83,758,758,758
84,576,576,576
85,430,430,430
86,83,83,83
87,424,424,893
88,405,405,405
89,780,780,780
90,136,136,137
91,281,281,281
92,644,644,644
93,424,860,860
94,487,487,487
95,243,243,243
96,795,795,795
97,473,473,473
98,996,996,993
99,712,712,712
100,819,819,819
101,658,658,846
102,869,869,618
103,173,173,173
104,392,392,392
105,134,134,127
106,223,223,223
107,251,251,251
108,957,957,957
109,865,865,865
110,34,34,5
111,312,312,312
112,594,594,861
113,557,557,557
114,580,580,580
115,510,510,510
116,377,377,105
117,484,484,124
118,694,694,694
119,411,669,411
120,174,174,174
121,877,877,877
122,89,89,456
123,9,9,9
124,69,69,69
125,986,986,986
126,460,460,460
127,771,771,771
128,826,826,826
129,368,368,369
130,430,430,430
131,285,285,285
132,581,581,581
133,892,892,892
134,295,295,295
135,424,424,590
136,602,602,416
137,553,553,553
138,787,787,787
139,259,259,259
140,645,645,645
141,583,583,583
142,817,817,575
143,371,371,371
144,387,387,297
145,611,611,611
146,761,761,761
147,382,382,104
148,196,196,196
149,614,614,697
150,615,615,615
151,192,192,193
152,918,918,415
153,609,609,751
154,122,122,122
155,182,182,182
156,931,931,959
157,28,28,28
158,296,812,605
159,463,463,463
160,607,607,607
161,866,866,866
162,554,554,554
163,469,469,876
164,49,49,49
165,592,592,592
166,639,639,638
167,811,811,811
168,165,165,165
169,776,776,776
