,base pred,meta pred,true label
0,269,277,269
1,466,466,466
2,787,787,787
3,592,592,592
4,364,364,364
5,932,932,932
6,816,816,816
7,987,987,987
8,438,438,503
9,360,360,356
10,543,543,731
11,857,857,770
12,493,485,482
13,380,380,384
14,118,118,118
15,957,957,957
16,533,533,824
17,71,71,71
18,796,501,824
19,837,837,837
20,441,441,441
21,311,311,311
22,777,777,777
23,747,919,889
24,359,358,358
25,527,527,613
26,387,387,356
27,346,343,343
28,763,763,763
29,564,564,564
30,642,642,541
31,289,289,289
32,542,542,542
33,270,270,270
34,26,26,115
35,632,632,632
36,665,456,665
37,333,338,333
38,762,762,762
39,641,641,641
40,886,886,886
41,347,347,347
42,155,155,175
43,771,771,771
44,749,749,85
45,369,369,369
46,131,132,131
47,731,731,998
48,634,634,634
49,770,770,770
50,367,367,367
51,57,57,55
52,575,575,575
53,840,790,790
54,377,372,373
55,835,835,640
56,401,401,401
57,476,476,476
58,529,529,529
59,848,823,848
60,191,191,219
61,687,687,687
62,905,641,616
63,543,543,543
64,760,760,790
65,977,977,977
66,446,446,771
67,498,498,727
68,617,617,697
69,75,75,75
70,465,422,671
71,529,529,529
72,684,684,684
73,873,873,663
74,916,916,920
75,250,250,250
76,840,840,840
77,542,644,644
78,927,927,927
79,727,727,727
80,778,778,778
81,973,973,973
82,471,471,471
83,611,611,958
84,194,186,194
85,972,972,972
86,690,690,345
87,281,281,281
88,706,634,424
89,47,47,47
90,499,534,662
91,406,406,884
92,828,828,463
93,972,972,390
94,306,306,306
95,421,421,421
96,846,619,619
97,598,523,655
98,606,606,606
99,794,794,794
100,865,865,509
101,186,186,186
102,734,734,734
103,524,524,461
104,31,31,31
105,16,16,16
106,725,968,898
107,77,77,60
108,946,946,706
109,246,4,151
110,905,905,905
111,961,961,961
112,103,103,103
113,765,765,765
114,134,134,134
115,144,144,144
116,267,267,267
117,927,927,959
118,536,576,536
119,970,101,494
120,837,837,629
121,850,850,850
122,22,22,22
123,510,510,510
124,156,156,156
125,311,311,312
126,136,136,136
127,983,983,983
128,626,633,633
129,47,47,47
130,495,495,799
131,821,821,580
132,120,120,120
133,534,534,534
134,579,579,579
135,697,377,359
136,190,190,902
137,833,833,833
138,495,495,495
139,24,24,24
140,177,177,177
141,433,838,529
142,490,490,490
143,52,53,53
144,344,344,344
145,188,188,188
146,243,243,243
147,353,352,353
148,194,196,196
149,18,18,18
150,777,777,777
151,355,355,355
152,533,533,533
153,562,708,708
154,617,617,905
155,488,488,679
156,968,968,968
157,526,526,526
158,224,224,224
159,159,159,211
160,526,526,495
161,966,572,504
162,811,811,804
163,190,190,196
164,44,46,44
165,312,317,317
166,374,271,374
167,213,211,209
168,251,251,251
169,863,863,733
170,105,105,105
171,911,911,911
172,501,345,21
173,65,65,65
174,593,593,593
175,732,732,732
176,714,504,679
177,870,870,870
178,958,958,922
179,573,573,573
180,171,171,172
181,476,476,476
182,344,501,344
183,961,961,961
184,199,199,199
185,625,625,625
186,604,604,604
187,470,470,470
188,912,912,912
189,26,329,26
190,589,447,838
191,46,46,40
192,467,467,467
193,712,967,967
194,679,679,600
195,514,630,514
196,898,898,898
197,668,668,668
198,470,470,470
199,119,119,119
200,738,738,738
201,572,572,572
202,547,547,525
203,261,261,261
204,375,375,381
205,407,407,407
206,710,767,710
207,524,524,857
208,888,888,888
209,216,216,216
210,54,474,62
211,287,287,281
212,738,738,428
213,259,259,259
214,672,808,434
215,520,520,520
216,84,84,84
217,787,633,778
218,749,749,749
219,862,862,980
220,593,593,593
221,920,920,885
222,3,3,6
223,138,138,138
224,143,97,146
225,709,709,709
226,443,443,516
227,813,813,623
228,735,735,735
229,874,874,874
230,142,142,142
231,989,989,989
232,307,307,307
233,900,900,967
234,327,116,329
235,897,897,897
236,543,543,422
237,608,608,608
238,443,443,443
239,411,411,443
240,857,857,857
241,104,104,104
242,874,874,874
243,684,684,869
244,483,483,483
245,747,412,692
246,418,418,418
247,402,714,714
248,698,698,698
249,699,399,399
250,463,463,463
251,287,287,281
252,963,606,778
253,964,964,932
254,823,823,633
255,112,112,112
256,470,470,619
257,244,244,244
258,369,226,45
259,544,544,925
260,895,907,404
261,284,284,284
262,233,233,279
263,337,337,337
264,622,719,388
265,106,106,106
266,33,33,33
267,809,809,809
268,601,601,601
269,980,980,980
270,166,166,166
271,418,418,418
272,823,823,823
273,284,284,284
274,118,118,118
275,524,524,524
276,14,14,14
277,136,136,136
278,342,342,342
279,672,672,669
280,412,412,859
281,710,519,637
282,563,563,563
283,932,932,932
284,545,451,451
285,700,998,700
286,118,118,118
287,618,618,91
288,700,700,700
289,986,986,112
290,112,112,112
291,49,49,49
292,739,739,739
293,897,897,534
294,429,429,429
295,9,9,9
296,52,52,63
297,246,178,246
298,566,566,566
299,190,190,190
300,937,937,936
301,846,846,846
302,605,977,928
303,477,477,792
304,630,630,630
305,64,64,64
306,27,27,26
307,27,27,27
308,118,118,118
309,523,523,702
310,372,372,372
311,947,947,947
312,559,489,559
313,185,185,216
314,667,667,667
315,711,906,711
316,801,801,842
317,676,161,676
