,base pred,meta pred,true label
0,269,271,269
1,466,466,466
2,787,787,787
3,592,592,592
4,364,377,364
5,932,932,932
6,816,816,816
7,987,987,987
8,463,438,503
9,360,360,356
10,877,731,731
11,770,868,770
12,742,742,482
13,381,380,384
14,122,122,118
15,106,515,957
16,533,533,824
17,71,71,71
18,457,885,824
19,837,837,837
20,965,441,441
21,312,312,311
22,477,512,777
23,632,621,889
24,359,359,358
25,742,742,613
26,278,278,356
27,341,341,343
28,763,763,763
29,564,564,564
30,541,566,541
31,289,289,289
32,542,767,542
33,270,270,270
34,329,700,115
35,590,590,632
36,665,665,665
37,333,333,333
38,762,762,762
39,641,541,641
40,886,886,886
41,345,347,347
42,200,201,175
43,771,844,771
44,808,84,85
45,369,369,369
46,131,131,131
47,885,585,998
48,587,634,634
49,811,768,770
50,367,366,367
51,64,64,55
52,575,575,575
53,758,790,790
54,380,380,373
55,640,640,640
56,401,401,401
57,476,476,476
58,529,529,529
59,848,848,848
60,265,219,219
61,687,687,687
62,584,616,616
63,543,543,543
64,729,760,790
65,836,977,977
66,492,493,771
67,827,498,727
68,62,617,697
69,75,75,75
70,518,671,671
71,419,529,529
72,684,684,684
73,873,442,663
74,481,916,920
75,250,250,250
76,843,840,840
77,644,542,644
78,927,927,927
79,727,727,727
80,778,778,778
81,637,825,973
82,471,471,471
83,989,415,958
84,186,185,194
85,972,972,972
86,690,690,345
87,282,282,281
88,582,706,424
89,47,47,47
90,605,946,662
91,884,884,884
92,828,828,463
93,6,397,390
94,310,306,306
95,412,829,421
96,619,619,619
97,639,459,655
98,606,606,606
99,794,542,794
100,498,865,509
101,186,186,186
102,734,734,734
103,524,524,461
104,31,31,31
105,20,16,16
106,438,859,898
107,114,58,60
108,706,476,706
109,246,237,151
110,905,998,905
111,961,961,961
112,103,103,103
113,765,765,765
114,134,134,134
115,132,144,144
116,267,267,267
117,922,922,959
118,576,576,536
119,819,819,494
120,837,836,629
121,850,850,850
122,22,22,22
123,510,510,510
124,154,156,156
125,311,312,312
126,136,136,136
127,983,983,983
128,551,633,633
129,47,43,47
130,495,495,799
131,821,821,580
132,120,120,120
133,651,624,534
134,579,579,579
135,359,359,359
136,190,267,902
137,833,833,833
138,495,495,495
139,24,24,24
140,184,177,177
141,452,529,529
142,490,490,490
143,52,52,53
144,344,341,344
145,188,188,188
146,243,243,243
147,353,352,353
148,198,198,196
149,17,17,18
150,777,777,777
151,9,355,355
152,539,443,533
153,538,538,708
154,905,905,905
155,679,679,679
156,968,968,968
157,526,527,526
158,224,224,224
159,159,159,211
160,532,478,495
161,966,855,504
162,605,811,804
163,190,155,196
164,47,43,44
165,312,317,317
166,371,276,374
167,159,168,209
168,251,251,251
169,737,863,733
170,105,105,105
171,911,703,911
172,667,705,21
173,65,65,65
174,593,593,593
175,759,732,732
176,667,464,679
177,870,870,870
178,922,922,922
179,621,573,573
180,171,171,172
181,476,476,476
182,344,344,344
183,961,922,961
184,199,199,199
185,625,625,625
186,604,604,604
187,470,470,470
188,912,912,912
189,25,38,26
190,745,551,838
191,46,46,40
192,467,467,467
193,504,504,967
194,679,679,600
195,597,514,514
196,898,629,898
197,668,668,668
198,470,470,470
199,119,125,119
200,738,738,738
201,906,441,572
202,977,580,525
203,261,249,261
204,368,368,381
205,407,407,407
206,761,38,710
207,488,524,857
208,888,888,888
209,216,216,216
210,837,837,62
211,287,227,281
212,738,494,428
213,259,259,259
214,672,785,434
215,520,520,520
216,84,84,84
217,455,787,778
218,749,749,749
219,819,546,980
220,893,709,593
221,446,549,885
222,6,149,6
223,138,138,138
224,99,97,146
225,709,709,709
226,443,443,516
227,764,587,623
228,735,735,735
229,705,874,874
230,142,142,142
231,989,956,989
232,307,304,307
233,504,855,967
234,116,116,329
235,896,861,897
236,783,398,422
237,841,608,608
238,443,443,443
239,411,443,443
240,857,857,857
241,104,104,104
242,874,829,874
243,869,880,869
244,483,483,483
