,base pred,meta pred,true label
0,269,269,269
1,466,466,466
2,787,787,787
3,592,592,592
4,364,364,364
5,932,932,932
6,816,816,816
7,987,987,987
8,503,503,503
9,360,360,356
10,731,731,731
11,770,770,770
12,485,485,482
13,380,381,384
14,120,120,118
15,957,957,957
16,533,533,824
17,71,71,71
18,796,796,824
19,837,837,837
20,441,441,441
21,311,311,311
22,777,777,777
23,559,559,889
24,358,358,358
25,613,613,613
26,278,278,356
27,343,343,343
28,763,763,763
29,564,564,564
30,541,541,541
31,289,289,289
32,767,767,542
33,270,270,270
34,329,329,115
35,632,632,632
36,665,665,665
37,333,333,333
38,762,762,762
39,641,641,641
40,886,886,886
41,347,347,347
42,175,175,175
43,771,771,771
44,619,619,85
45,369,369,369
46,131,131,131
47,998,998,998
48,634,634,634
49,770,770,770
50,367,367,367
51,55,55,55
52,575,575,575
53,790,790,790
54,373,373,373
55,835,835,640
56,401,401,401
57,476,476,476
58,529,529,529
59,848,848,848
60,214,214,219
61,687,687,687
62,584,584,616
63,543,543,543
64,729,729,790
65,977,977,977
66,493,493,771
67,498,498,727
68,61,61,697
69,75,75,75
70,465,465,671
71,529,529,529
72,684,684,684
73,663,663,663
74,916,916,920
75,250,250,250
76,840,840,840
77,644,644,644
78,927,927,927
79,727,727,727
80,778,778,778
81,973,973,973
82,471,471,471
83,415,415,958
84,194,194,194
85,972,972,972
86,690,690,345
87,281,281,281
88,807,807,424
89,47,47,47
90,530,662,662
91,406,406,884
92,828,828,463
93,6,6,390
94,306,306,306
95,421,421,421
96,619,619,619
97,655,655,655
98,606,606,606
99,794,794,794
100,509,509,509
101,186,186,186
102,734,734,734
103,524,524,461
104,31,31,31
105,16,16,16
106,725,725,898
107,77,77,60
108,706,706,706
109,171,171,151
110,600,600,905
111,961,961,961
112,103,103,103
113,765,765,765
114,134,134,134
115,144,144,144
116,267,267,267
117,927,927,959
118,974,974,536
119,494,494,494
120,837,837,629
121,850,850,850
122,22,22,22
123,510,510,510
124,156,156,156
125,312,312,312
126,136,136,136
127,983,983,983
128,633,633,633
129,47,47,47
130,495,495,799
131,580,580,580
132,120,120,120
133,526,651,534
134,579,579,579
135,359,359,359
136,902,902,902
137,833,833,833
138,495,495,495
139,24,24,24
140,177,177,177
141,529,562,529
142,490,490,490
143,53,53,53
144,344,344,344
145,188,188,188
146,243,243,243
147,352,352,353
148,196,196,196
149,18,18,18
