,base pred,meta pred,true label
0,503,773,503
1,489,489,491
2,390,110,65
3,600,772,772
4,414,589,617
5,947,934,947
6,640,640,640
7,164,165,164
8,956,956,947
9,311,311,311
10,621,870,665
11,524,524,524
12,530,449,781
13,134,99,134
14,310,310,310
15,416,416,416
16,851,851,851
17,529,529,529
18,615,615,615
19,115,115,115
20,971,971,971
21,820,820,820
22,422,823,422
23,361,361,361
24,648,631,648
25,118,118,118
26,917,917,917
27,578,578,578
28,808,515,808
29,519,519,519
30,956,956,956
31,785,630,785
32,65,79,65
33,721,748,721
34,431,520,516
35,430,430,430
36,414,614,525
37,75,75,75
38,458,458,458
39,141,141,141
40,764,764,764
41,73,73,74
42,239,239,239
43,191,191,191
44,946,996,946
45,778,778,778
46,569,569,569
47,200,200,200
48,612,612,612
49,599,599,828
50,943,945,943
51,305,305,305
52,170,170,170
53,497,497,497
54,607,607,607
55,684,502,684
56,600,600,618
57,120,120,120
58,520,831,520
59,432,905,432
60,475,656,475
61,774,783,623
62,116,116,116
63,8,8,730
64,67,67,67
65,797,797,797
66,506,231,808
67,72,78,72
68,681,681,620
69,206,206,206
70,879,879,879
71,535,535,535
72,598,598,598
73,96,96,96
74,319,319,319
75,76,123,119
76,847,847,847
77,768,768,768
78,425,425,425
79,724,724,724
80,789,789,799
81,161,163,167
82,192,192,261
83,985,985,985
84,100,100,100
85,356,356,361
86,869,885,568
87,253,158,253
88,854,854,854
89,702,523,702
90,269,269,271
91,622,622,622
92,459,459,459
93,978,969,978
94,272,272,272
95,970,974,970
96,651,651,651
97,469,469,908
98,234,234,165
99,463,443,463
100,148,6,148
101,770,770,795
102,764,621,880
103,203,192,185
104,812,812,812
105,784,784,647
106,451,712,719
107,960,960,415
108,178,178,178
109,70,70,70
110,9,138,9
111,47,47,47
112,485,754,485
113,842,842,445
114,804,731,804
115,466,466,466
116,717,717,717
117,834,834,834
118,202,175,202
119,184,266,170
120,263,263,263
121,176,176,173
122,947,947,947
123,159,159,246
124,227,223,223
125,775,689,775
126,252,252,252
127,216,216,216
128,37,37,37
129,378,378,381
130,804,503,804
131,250,250,248
132,60,58,62
133,134,134,134
134,583,583,583
135,972,972,972
136,349,349,348
137,236,236,236
138,687,687,687
139,212,212,212
140,416,416,416
141,940,939,940
142,650,593,650
143,409,409,409
144,321,321,321
145,318,318,318
146,518,518,796
147,688,688,688
148,525,525,525
149,664,664,508
150,755,755,755
151,150,5,150
152,94,94,94
153,531,592,531
154,927,927,927
155,620,620,620
156,599,599,410
157,646,646,646
158,206,206,206
159,839,839,839
160,130,130,130
161,643,459,725
162,551,551,551
163,524,524,461
164,169,169,169
165,432,764,432
166,501,399,399
167,424,918,454
168,828,828,618
169,470,710,470
170,812,812,812
171,853,853,853
172,791,791,791
173,731,813,813
174,367,367,367
175,255,255,255
176,641,641,641
177,395,103,395
178,219,219,219
179,142,140,143
180,569,555,569
181,18,18,18
182,463,463,463
183,453,453,453
184,473,439,850
185,691,981,785
186,288,288,293
187,601,830,601
188,433,433,465
189,364,362,364
190,450,450,450
191,300,305,305
192,622,759,622
193,361,361,361
194,816,816,816
