,base pred,meta pred,true label
0,59,59,64
1,163,172,257
2,47,47,47
3,41,41,41
4,181,181,181
5,603,603,603
6,495,659,495
7,975,114,460
8,34,34,34
9,564,826,887
10,859,859,859
11,281,282,281
12,981,981,981
13,5,5,396
14,9,9,9
15,997,997,986
16,664,664,782
17,316,316,316
18,126,126,126
19,740,740,865
20,906,760,760
21,203,203,203
22,510,510,510
23,264,264,264
24,491,491,491
25,239,239,240
26,925,925,925
27,954,954,954
28,618,813,451
29,334,334,334
30,804,804,804
31,344,344,344
32,195,195,195
33,588,588,588
34,83,83,82
35,73,73,73
36,237,237,237
37,951,951,951
38,712,712,551
39,387,387,387
40,979,979,979
41,3,3,3
42,926,968,968
43,520,520,516
44,994,994,994
45,762,476,560
46,257,257,257
47,549,692,692
48,900,900,883
49,230,231,230
50,571,571,571
51,432,432,683
52,569,569,569
53,335,335,335
54,816,816,415
55,267,267,202
56,364,364,364
57,448,448,469
58,20,20,20
59,691,465,666
60,925,925,925
61,510,510,510
62,255,255,255
63,469,469,967
64,21,21,23
65,626,747,801
66,577,909,909
67,812,812,812
68,524,524,524
69,80,80,80
70,638,638,638
71,157,157,157
72,183,183,183
73,818,633,633
74,552,282,285
75,226,226,226
76,155,155,154
77,93,93,93
78,601,652,728
79,716,716,716
80,693,693,693
81,734,734,734
82,402,402,650
83,384,384,384
84,668,668,668
85,466,466,466
86,40,40,44
87,863,863,863
88,141,141,141
89,814,814,476
90,490,490,490
91,324,324,324
92,170,170,175
93,850,850,850
94,148,148,148
95,954,954,954
96,42,42,47
97,545,545,728
98,476,476,476
99,632,632,632
100,430,430,430
101,329,329,329
102,65,65,65
103,77,77,77
104,145,145,145
105,259,259,259
106,709,709,623
107,470,470,644
108,155,155,155
109,622,622,622
110,708,708,708
111,209,209,209
112,431,431,516
113,925,925,925
114,966,966,959
115,423,601,424
116,505,505,505
117,569,569,803
118,360,360,360
119,500,971,835
120,519,835,765
121,384,384,384
122,508,508,508
123,931,931,600
124,274,286,274
125,620,620,620
126,866,866,866
127,535,535,535
128,561,561,561
129,385,385,385
130,435,435,876
131,19,19,19
132,945,945,945
133,439,439,439
134,524,524,524
135,792,792,728
136,328,328,328
137,818,804,804
138,368,368,368
139,835,835,835
140,59,59,59
141,144,144,733
142,736,736,736
143,954,954,954
144,427,427,427
145,513,513,965
146,740,740,830
147,121,121,121
148,301,301,301
149,189,189,189
150,568,486,541
151,48,48,48
152,659,659,896
153,845,845,845
154,74,74,815
155,835,835,835
156,867,867,867
157,585,589,361
158,225,225,225
159,415,806,459
160,357,357,103
161,275,275,275
162,391,391,391
163,955,955,955
164,736,877,498
165,932,932,932
166,251,251,251
167,217,217,217
168,977,862,862
169,128,128,128
170,263,263,230
171,846,846,846
172,823,823,610
173,868,868,868
174,771,508,507
175,697,697,614
176,772,772,772
177,179,179,206
178,605,605,605
179,65,65,65
180,698,698,698
181,145,145,145
182,473,473,512
183,403,403,403
184,543,543,422
185,524,524,524
186,53,53,53
187,560,518,768
188,549,478,519
189,798,798,409
190,378,378,378
191,753,753,753
192,927,927,926
193,332,332,332
194,807,807,799
195,237,237,237
196,72,72,72
197,187,187,201
198,859,859,859
199,906,440,906
200,44,44,44
201,908,908,908
202,157,157,157
203,130,130,130
204,767,767,838
205,585,585,585
206,432,432,432
207,836,836,837
