base,trained,truth
77,77,77
437,437,437
124,124,124
910,618,618
920,920,829
481,481,482
112,112,112
476,476,476
828,828,828
462,799,523
753,753,753
142,142,142
742,742,742
878,810,810
727,727,727
867,867,867
268,268,268
523,981,531
58,58,58
574,574,574
144,142,144
722,722,722
281,281,287
781,781,781
259,259,259
801,801,801
652,465,465
177,177,177
679,488,837
138,138,138
970,970,671
392,973,392
935,935,935
924,924,924
66,66,126
140,140,140
995,995,995
335,335,335
787,787,787
973,460,6
797,529,831
909,469,926
362,362,362
571,571,571
434,434,434
340,340,340
881,881,881
455,551,826
10,10,10
824,911,533
342,342,342
17,17,17
144,144,144
575,575,575
652,652,652
152,152,152
460,460,437
3,3,3
871,871,871
816,816,816
520,520,520
709,709,709
848,482,848
804,844,804
831,831,831
292,292,282
838,838,838
752,752,752
76,76,76
338,338,338
452,452,452
601,578,578
571,571,571
879,879,775
652,652,652
664,527,664
532,532,532
736,736,589
425,660,915
695,695,695
374,374,374
300,300,300
133,133,133
488,634,634
709,709,549
667,667,667
442,442,442
346,603,346
340,340,340
894,894,894
695,695,695
98,98,98
345,345,345
608,630,608
819,546,402
548,548,548
376,376,376
996,996,996
512,512,512
132,132,132
962,962,762
871,871,871
179,179,180
701,701,701
362,362,362
633,749,673
622,447,66
358,359,356
53,53,53
141,141,141
749,749,749
101,101,101
60,68,68
692,624,478
492,922,728
775,775,775
429,429,429
148,148,148
372,372,372
18,18,18
988,988,988
540,540,540
966,966,966
707,707,707
693,837,693
354,354,354
180,180,180
281,281,282
313,313,313
834,834,869
298,298,298
454,612,792
591,614,496
120,49,139
188,188,188
69,69,69
617,617,617
53,53,53
994,994,994
850,850,850
180,180,243
695,695,695
594,764,693
371,371,371
151,237,151
246,246,246
954,954,954
542,767,542
295,295,295
500,500,500
413,413,413
696,696,696
148,147,148
208,208,208
458,458,458
187,201,187
411,411,885
966,966,966
649,649,649
858,449,858
913,913,460
419,419,419
381,381,381
969,712,712
814,814,814
564,564,453
456,456,456
269,269,269
13,13,13
385,101,385
250,250,250
244,244,256
406,406,406
8,8,8
564,564,564
979,979,979
620,681,782
520,520,520
542,541,541
194,194,194
138,138,138
223,223,223
344,344,344
215,215,266
551,551,658
528,878,508
266,266,265
460,975,460
503,653,503
857,857,406
109,109,109
945,945,945
790,790,790
771,771,771
300,303,302
737,737,631
553,553,493
64,64,55
51,51,51
618,618,618
668,668,668
707,707,707
119,119,119
450,450,450
534,534,534
840,580,799
119,119,119
275,275,275
501,501,501
407,407,407
904,904,904
130,130,130
303,303,303
112,112,112
15,15,15
425,425,425
170,170,170
102,102,102
432,432,432
505,849,849
895,895,895
708,708,456
753,753,753
337,337,337
884,884,884
293,293,293
385,101,101
241,241,241
781,781,781
425,425,425
